date,time,number of walkers,nutrient level,number of total walkers,number of finished walkers,max_steps,dt,momentum magnitude,random magnitude,convergence/divergence magnitude,nutrient exponent,start exponent,rotational diffusion,branch probability,convergence/divergence distance,loop count,simulation time,note
05/26/2023,15:37:45,5,1500,9,2,3000,1,15,5,25,1.5,1,0.05,0.0005,100,3165,40.03293585777283,
05/26/2023,16:03:21,5,1500,6,1,3000,1,15,5,25,1.5,1,0.05,0.0005,100,2735,13.06114649772644,
05/26/2023,16:06:14,5,1500,11,5,3000,1,15,5,25,1.5,1,0.05,0.0005,100,2444,66.10422825813293,
05/26/2023,16:08:11,5,1500,8,2,3000,1,15,5,25,1.5,1,0.05,0.0005,100,1785,22.972641229629517,
05/26/2023,16:13:49,5,1500,15,8,3000,1,15,5,25,1.5,1,0.05,0.0005,100,2660,89.87571358680725,
05/26/2023,16:15:31,5,1500,13,5,3000,1,15,5,25,1.5,1,0.05,0.0005,100,2764,44.24992513656616,
05/26/2023,16:18:23,5,1500,7,3,3000,1,15,5,25,1.5,1,0.05,0.0005,100,2282,25.688745498657227,
05/26/2023,16:32:26,5,1500,9,2,3000,1,15,5,25,1.5,1,0.05,0.0005,100,2367,17.474655628204346,
05/26/2023,16:43:40,5,1500,13,5,3000,1,15,5,25,1.5,1,0.05,0.0005,100,4125,103.39354372024536,
05/26/2023,16:52:40,5,1500,7,0,3000,1,15,5,25,1.5,1,0.05,0.0005,100,1014,6.601556777954102,they just died right away...
07/21/2023,18:52:44,5,1500,12,4,3000,1,15,5,25,1.5,1,0.05,0.0005,100,4432,63.2302680015564,testing1 for exploitation
07/22/2023,17:38:08,5,1500,13,5,3000,1,15,5,25,1.5,1,0.05,0.0005,100,2316,47.242032289505005,exploitation test 2
07/22/2023,17:39:26,5,1500,5,1,3000,1,15,5,25,1.5,1,0.05,0.0005,100,1620,7.253653526306152,exploitation test 3
07/22/2023,17:40:52,5,1500,9,3,3000,1,15,5,25,1.5,1,0.05,0.0005,100,2125,45.35863900184631,exploitation test 4
07/22/2023,17:43:03,5,1500,6,0,3000,1,15,5,25,1.5,1,0.05,0.0005,100,2336,14.63814663887024,exploitation test 5
07/22/2023,17:46:49,5,1500,12,8,3000,1,15,5,25,1.5,1,0.05,0.0005,100,1906,51.93128824234009,exploitation test 6
09/02/2023,10:17:38,5,1500,7,5,3000,1,15,5,25,1.5,1,0.05,0.0005,100,1943,15.845229387283325,Testing Variable Improvements
09/02/2023,10:19:24,5,1500,7,5,3000,1,15,5,25,1.5,1,0.05,0.0008,100,1679,11.902644872665405,Increasing Branch Probability
09/02/2023,10:21:11,5,1500,10,7,3000,1,15,5,35,1.5,1,0.05,0.0008,100,2003,44.372918367385864,Increased Convergence/Divergence
09/02/2023,10:23:55,5,1500,9,5,3000,1,15,5,30,1.5,1,0.05,0.001,100,1625,12.190932989120483,Decreased C/D and increased branch
09/02/2023,10:29:23,5,1500,8,4,3000,1,15,5,33,1.5,1,0.05,0.0015,100,1772,10.215314865112305,increased c/d, increased branch
09/02/2023,10:30:22,5,1500,14,12,3000,1,15,5,33,1.5,1,0.05,0.0015,100,1823,16.335419416427612,retry
09/02/2023,10:31:27,5,1500,9,5,3000,1,15,5,33,1.5,1,0.05,0.0015,50,2081,12.269388914108276,decreased c/d radius
09/02/2023,10:32:54,10,1500,21,13,3000,1,15,5,33,1.5,1,0.05,0.0015,50,1643,28.84132981300354,increased starting walkers
09/02/2023,10:37:51,10,1500,36,18,3000,1,15,5,33,1.4,1,0.05,0.0015,50,3734,165.14385986328125,decreased nutrient exponent
09/02/2023,10:52:38,10,1500,26,10,3000,1,15,5,33,1.3,1,0.05,0.0015,50,3004,79.33411359786987,decreased nutrient exponent
09/02/2023,10:57:59,10,1500,23,13,3000,1,15,5,45,1.4,1,0.05,0.0015,50,3396,111.58948636054993,increased nutrient exp, increased c/d
09/02/2023,11:15:48,30,1500,96,34,3000,1,15,5,45,1.4,1,0.05,0.0015,50,6477,962.0158970355988,increased walkers
