date,time,number of walkers,nutrient level,number of total walkers,number of finished walkers,max_steps,dt,momentum magnitude,random magnitude,convergence/divergence magnitude,nutrient exponent,start exponent,rotational diffusion,branch probability,convergence/divergence distance,loop count,simulation time,note
05/26/2023,15:37:45,5,1500,9,2,3000,1,15,5,25,1.5,1,0.05,0.0005,100,3165,40.03293585777283,
05/26/2023,16:03:21,5,1500,6,1,3000,1,15,5,25,1.5,1,0.05,0.0005,100,2735,13.06114649772644,
05/26/2023,16:06:14,5,1500,11,5,3000,1,15,5,25,1.5,1,0.05,0.0005,100,2444,66.10422825813293,
05/26/2023,16:08:11,5,1500,8,2,3000,1,15,5,25,1.5,1,0.05,0.0005,100,1785,22.972641229629517,
05/26/2023,16:13:49,5,1500,15,8,3000,1,15,5,25,1.5,1,0.05,0.0005,100,2660,89.87571358680725,
05/26/2023,16:15:31,5,1500,13,5,3000,1,15,5,25,1.5,1,0.05,0.0005,100,2764,44.24992513656616,
05/26/2023,16:18:23,5,1500,7,3,3000,1,15,5,25,1.5,1,0.05,0.0005,100,2282,25.688745498657227,
05/26/2023,16:32:26,5,1500,9,2,3000,1,15,5,25,1.5,1,0.05,0.0005,100,2367,17.474655628204346,
05/26/2023,16:43:40,5,1500,13,5,3000,1,15,5,25,1.5,1,0.05,0.0005,100,4125,103.39354372024536,
05/26/2023,16:52:40,5,1500,7,0,3000,1,15,5,25,1.5,1,0.05,0.0005,100,1014,6.601556777954102,they just died right away...
